id,hotel_name,address,Latitude,Longitude,price_range,関連サイト,charger_type,charger_count,出力,最大電流値,種別,充電課金,駐車料金,連絡・申込,事前予約,メーカー,認証,備考,image_url,affiliate_url,lat_lng
1546,葉渡莉  /  よろづや観光(株),石川県加賀市山代温泉温泉通り17,36.2909689,136.3629715,"9,000円〜（消費税込9,900円〜）",https://hatori.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=10624,https://travel.rakuten.co.jp/HOTEL/10624/10624.html,"36.2909689,36.2909689"
1547,瑠璃光  /  よろづや観光(株),石川県加賀市山代温泉19-58-1,36.2947576,136.3649509,"9,000円〜（消費税込9,900円〜）",https://rurikoh.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=6191,https://travel.rakuten.co.jp/HOTEL/6191/6191.html,"36.2947576,36.2947576"
1548,吉祥やまなか,石川県加賀市山中温泉東町1-ホ14-3,36.249077,136.3746812,"21,364円〜（消費税込23,500円〜）",https://kissho-yamanaka.com/access/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=67124,https://travel.rakuten.co.jp/HOTEL/67124/67124.html,"36.249077,36.249077"
1549,一里野高原ホテルろあん,石川県白山市尾添チ70-4,36.2676939,136.7182879,"2,710円〜（消費税込2,980円〜）",https://ichirino.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=181133,https://travel.rakuten.co.jp/HOTEL/181133/181133.html,"36.2676939,36.2676939"
1550,かがり吉祥亭,石川県加賀市山中温泉こおろぎ町ニ1-1,36.2422179,136.3715322,"15,910円〜（消費税込17,500円〜）",https://kagari-kisshotei.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=68251,https://travel.rakuten.co.jp/HOTEL/68251/68251.html,"36.2422179,36.2422179"
1551,INOVA 金沢駅前ホテル suite,石川県金沢市元菊町25-3,36.5730274,136.6438783,"4,000円〜（消費税込4,400円〜）",https://kanazawahotel.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=167145,https://travel.rakuten.co.jp/HOTEL/167145/167145.html,"36.5730274,36.5730274"
1552,大江戸温泉物語 あわづグランドホテル  /  大江戸温泉物語ホテルズ&リゾーツ(株),石川県小松市粟津町ワ36,36.3308424,136.4473113,,https://www.ooedoonsen.jp/awazu-gh/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"36.3308424,36.3308424"
1553,大江戸温泉物語 わんわんリゾート 粟津  /  大江戸温泉物語ホテルズ&リゾーツ(株),石川県小松市粟津町イ35-35,36.3307075,136.4448454,,https://www.ooedoonsen.jp/wanwan-awazu/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"36.3307075,36.3307075"
1554,大江戸温泉物語 山中彩朝楽  /  大江戸温泉物語ホテルズ&リゾーツ(株),石川県加賀市山中温泉こおろぎ町イ93,36.2350442,136.3667067,,https://www.ooedoonsen.jp/yamanaka-saichoraku/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"36.2350442,36.2350442"
1555,亀の井ホテル 福井  /  アイコニア･ホスピタリティ(株),福井県福井市渕町43-17,36.0434446,136.1945394,"4,200円〜（消費税込4,620円〜）",https://kamenoi-hotels.com/fukui/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=84976,https://travel.rakuten.co.jp/HOTEL/84976/84976.html,"36.0434446,36.0434446"
1556,あわら温泉 旅館 まつや千千,福井県あわら市舟津31-24,36.2238419,136.1875497,"9,500円〜（消費税込10,450円〜）",https://matuyasensen.co.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=84545,https://travel.rakuten.co.jp/HOTEL/84545/84545.html,"36.2238419,36.2238419"
1557,アネックス つるや (つるや旅館),福井県敦賀市本町2-10-21,35.6508876,136.0721428,,,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"35.6508876,35.6508876"
1558,鯖江第一ホテル (第1P),福井県鯖江市新横江1-116,35.9423535,136.1937349,"4,410円〜（消費税込4,850円〜）",https://dai-ichi-hotel.co.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=5691,https://travel.rakuten.co.jp/HOTEL/5691/5691.html,"35.9423535,35.9423535"
